step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.23781681060791,4.211941719055176,0.01,-100.0
1,1,3.410651445388794,3.562758445739746,0.01,-100.0,0.015937999822199345,0.011648324551060796,0.04376103449612856,0.5856270790100098
2,2,3.6220145225524902,3.8128714561462402,0.01,-100.0,0.0177063406445086,0.12191098742187023,0.3518700674176216,2.318014919757843
3,3,7.756012916564941,7.363434791564941,0.01,-100.0,0.02031696029007435,1.665799394249916,4.255095034837723,6.763677358627319
4,4,4.1019439697265625,4.190243244171143,0.01,-100.0,0.022141152527183294,5.107087671756744,4.552233248949051,8.096843242645264
5,5,3.9390082359313965,3.8529300689697266,0.01,-100.0,0.022963831201195717,6.988475501537323,22.221161127090454,8.227905750274658
6,6,3.7284281253814697,3.7609386444091797,0.01,0.5035487311665696,0.023252985440194607,9.111766189336777,36.37671256065369,9.587234735488892
7,7,3.4876585006713867,3.5366430282592773,0.01,0.503786374460948,0.023359909188002348,11.324804842472076,45.045372009277344,9.716394901275635
8,8,3.4351980686187744,3.5370981693267822,0.01,0.5040206226387832,0.023646595422178507,13.77515023946762,56.18482828140259,9.555156230926514
9,9,3.723783016204834,3.636634349822998,0.01,0.5044679598810443,0.02429335005581379,16.393828332424164,71.83357524871826,9.280794382095337
10,10,3.6380319595336914,3.5074710845947266,0.01,0.5040954870156997,0.024680810514837503,19.09725934267044,83.82827091217041,8.996477365493774
