step,iter,train/loss,val/loss,lr,mfu
0,0,4.244880676269531,4.269177436828613,0.01,-100.0
1,1,3.665485143661499,3.7806572914123535,0.01,-100.0
2,2,6.022286415100098,5.928044319152832,0.01,-100.0
3,3,4.588403701782227,4.387904167175293,0.01,-100.0
4,4,4.378052234649658,4.441429138183594,0.01,-100.0
5,5,4.718083381652832,4.432929992675781,0.01,-100.0
6,6,4.360503196716309,4.344738483428955,0.01,0.4332061686977624
7,7,3.94470477104187,4.0521697998046875,0.01,0.42880240752171517
8,8,4.044860363006592,3.9692349433898926,0.01,0.4229006936531206
9,9,3.6667375564575195,3.6408469676971436,0.01,0.41560749110203454
10,10,3.578744888305664,3.54526424407959,0.01,0.4110156911284189
