step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.189703941345215,4.201664924621582,0.01,-100.0
1,1,3.444915771484375,3.5272035598754883,0.01,-100.0,0.016057973727583885,0.011474757571704686,0.04382505128160119,0.5661014467477798
2,2,3.8533759117126465,3.908186674118042,0.01,-100.0,0.017785752657800913,0.19505556859076023,0.446178924292326,2.530306577682495
3,3,4.374902725219727,4.36590576171875,0.01,-100.0,0.020390142686665058,0.928929977118969,4.6317775547504425,7.775582313537598
4,4,4.56506872177124,4.294809341430664,0.01,-100.0,0.02179094683378935,3.340707838535309,7.711078941822052,1.7453789114952087
5,5,3.790712356567383,3.9377851486206055,0.01,-100.0,0.022990997415035963,5.11763471364975,21.038679122924805,12.318635940551758
6,6,3.7887144088745117,3.654181480407715,0.01,0.591119568696269,0.02366181882098317,9.449713706970215,24.033055305480957,12.952810525894165
7,7,3.5471413135528564,3.633946418762207,0.01,0.5913532033118797,0.024167784955352545,12.515665769577026,23.51091194152832,12.296485424041748
8,8,3.4928698539733887,3.579634189605713,0.01,0.5915687267706209,0.024619358126074076,17.043038845062256,21.413085103034973,10.644800662994385
9,9,3.4068965911865234,3.593522071838379,0.01,0.5922559410087548,0.024941403418779373,22.085206270217896,22.39669805765152,8.572447538375854
10,10,3.420274019241333,3.525182008743286,0.01,0.5924899589779429,0.025145678780972958,27.449338555336,26.553658962249756,7.931392073631287
