step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,5.12526798248291,5.046250343322754,0.01,-100.0
1,1,5.401453495025635,5.101937294006348,0.01,-100.0,0.015914521645754576,0.011677041416987777,0.043814802542328835,1.2619758248329163
2,2,6.349920272827148,6.210275650024414,0.01,-100.0,0.015500611858442426,0.45414314791560173,0.5279371030628681,15.563908576965332
3,3,8.944589614868164,9.201114654541016,0.01,-100.0,0.01683450397104025,1.5227556675672531,2.640685945749283,9.143910884857178
4,4,7.3092169761657715,7.402294635772705,0.01,-100.0,0.017922534607350826,4.42676842212677,4.549090594053268,12.14091682434082
5,5,6.676486015319824,6.923734664916992,0.01,-100.0,0.019019711297005415,7.588784039020538,8.41170084476471,20.803458213806152
6,6,8.4915132522583,8.380514144897461,0.01,0.45338312049963214,0.02022739965468645,13.112680554389954,11.466275691986084,21.23002052307129
7,7,9.363821029663086,8.705086708068848,0.01,0.4611284246084926,0.02119029499590397,18.215991139411926,14.133735418319702,28.885205268859863
8,8,9.631047248840332,9.2714262008667,0.01,0.4665518272226741,0.021880741231143475,24.421287655830383,15.651848196983337,37.01866340637207
9,9,8.158364295959473,8.270051956176758,0.01,0.47352749085560475,0.022589311003684998,28.619920253753662,17.847064971923828,36.16737079620361
10,10,7.396076202392578,7.795351505279541,0.01,0.48113828731169367,0.023282951675355434,33.76781606674194,19.520643949508667,38.37819862365723
