timestamp,gpu_index,temperature_C,utilization_gpu_percent,power_W
2025-09-24T03:41:43.487Z,0, 23, 0, 73.41
2025-09-24T03:41:43.487Z,1, 42, 0, 81.42
2025-09-24T03:41:43.487Z,2, 24, 0, 80.92
2025-09-24T03:41:43.487Z,3, 23, 0, 72.17
2025-09-24T03:41:43.487Z,4, 25, 0, 73.16
2025-09-24T03:41:43.487Z,5, 22, 0, 73.49
2025-09-24T03:41:43.487Z,6, 24, 0, 74.32
2025-09-24T03:41:43.487Z,7, 23, 0, 73.32
2025-09-24T03:41:43.825Z,0, 23, 0, 73.40
2025-09-24T03:41:43.825Z,1, 42, 0, 81.43
2025-09-24T03:41:43.825Z,2, 24, 0, 80.98
2025-09-24T03:41:43.825Z,3, 23, 0, 72.16
2025-09-24T03:41:43.825Z,4, 25, 0, 73.17
2025-09-24T03:41:43.825Z,5, 22, 0, 73.50
2025-09-24T03:41:43.825Z,6, 24, 0, 74.32
2025-09-24T03:41:43.825Z,7, 23, 0, 73.35
2025-09-24T03:41:44.127Z,0, 23, 0, 73.36
2025-09-24T03:41:44.127Z,1, 42, 0, 81.44
2025-09-24T03:41:44.127Z,2, 24, 0, 80.98
2025-09-24T03:41:44.127Z,3, 23, 0, 72.18
2025-09-24T03:41:44.127Z,4, 25, 0, 73.18
2025-09-24T03:41:44.127Z,5, 22, 0, 73.52
2025-09-24T03:41:44.127Z,6, 24, 0, 74.34
2025-09-24T03:41:44.127Z,7, 23, 0, 73.33
2025-09-24T03:41:44.462Z,0, 23, 0, 73.39
2025-09-24T03:41:44.462Z,1, 42, 0, 81.43
2025-09-24T03:41:44.462Z,2, 24, 0, 80.97
2025-09-24T03:41:44.462Z,3, 23, 0, 72.20
2025-09-24T03:41:44.462Z,4, 25, 0, 73.19
2025-09-24T03:41:44.462Z,5, 22, 0, 73.53
2025-09-24T03:41:44.462Z,6, 24, 0, 74.35
2025-09-24T03:41:44.462Z,7, 23, 0, 73.36
2025-09-24T03:41:44.763Z,0, 23, 0, 73.40
2025-09-24T03:41:44.763Z,1, 42, 0, 81.40
2025-09-24T03:41:44.763Z,2, 24, 0, 80.96
2025-09-24T03:41:44.763Z,3, 23, 0, 72.18
2025-09-24T03:41:44.763Z,4, 25, 0, 73.17
2025-09-24T03:41:44.763Z,5, 22, 0, 73.53
2025-09-24T03:41:44.763Z,6, 24, 0, 74.37
2025-09-24T03:41:44.763Z,7, 23, 0, 73.39
2025-09-24T03:41:45.090Z,0, 23, 0, 73.44
2025-09-24T03:41:45.090Z,1, 42, 0, 81.42
2025-09-24T03:41:45.090Z,2, 24, 0, 80.97
