lr,train/loss,_step,val/loss,_timestamp,iter,_runtime,train/step_loss,Sample Generation,seed
9.900990099009901e-06,4.2738142013549805,0,4.267052173614502,1779707186.6153193,0.0,15.2713905,,,6242
,,1,,1779707186.737292,0.0,15.3933384,4.2634687423706055,,6242
,,2,,1779707187.819584,10.0,16.4756293,3.011631965637207,,6242
,,3,,1779707188.933307,20.0,17.5893778,2.6971030235290527,,6242
,,4,,1779707190.0335557,30.0,18.6890945,2.598235845565796,,6242
,,5,,1779707191.1240146,40.0,19.7805341,2.51180100440979,,6242
,,6,,1779707192.2036188,50.0,20.8598129,2.4408862590789795,,6242
,,7,,1779707193.299882,60.0,21.9564843,2.38157057762146,,6242
,,8,,1779707194.3855195,70.0,23.0419953,2.300063133239746,,6242
,,9,,1779707195.4655974,80.0,24.1217746,2.2123911380767822,,6242
,,10,,1779707196.560396,90.0,25.2164414,2.1621885299682617,,6242
,,11,,1779707197.6470685,100.0,26.3033751,2.112626075744629,,6242
,,12,,1779707198.7205896,110.0,27.3766345,2.0752792358398438,,6242
,,13,,1779707199.8088503,120.0,28.4649741,2.0053420066833496,,6242
,,14,,1779707200.9041874,130.0,29.5602334,1.988279104232788,,6242
,,15,,1779707201.9939253,140.0,30.64997,1.9520469903945923,,6242
,,16,,1779707203.0872097,150.0,31.7434712,1.8783166408538818,,6242
,,17,,1779707204.1785653,160.0,32.8346084,1.8474488258361816,,6242
,,18,,1779707205.2627213,170.0,33.9192092,1.8415162563323975,,6242
,,19,,1779707206.3395147,180.0,34.9955581,1.8445903062820435,,6242
,,20,,1779707207.4215393,190.0,36.077584,1.8037216663360596,,6242
,,21,,1779707208.5204535,200.0,37.1765952,1.7756619453430176,,6242
,,22,,1779707209.6177037,210.0,38.2741567,1.7139511108398438,,6242
,,23,,1779707210.7205698,220.0,39.37712,1.727241039276123,,6242
,,24,,1779707211.8310182,230.0,40.4870728,1.6934795379638672,,6242
,,25,,1779707212.91136,240.0,41.5676671,1.7127430438995361,,6242
0.0009979206008271391,1.5854095220565796,26,1.7554848194122314,1779707229.077472,250.0,57.7340127,,,6242
,,27,,1779707229.1954393,250.0,57.8514853,1.6917502880096436,,6242
,,28,,1779707230.318122,260.0,58.9741688,1.653261423110962,,6242
,,29,,1779707231.4338775,270.0,60.0899231,1.6686768531799316,,6242
,,30,,1779707232.5501533,280.0,61.2066848,1.6364548206329346,,6242
,,31,,1779707233.6695824,290.0,62.3259882,1.6283860206604004,,6242
,,32,,1779707234.778462,300.0,63.4346116,1.5811750888824463,,6242
,,33,,1779707235.890811,310.0,64.5474146,1.5932655334472656,,6242
,,34,,1779707237.011351,320.0,65.6675673,1.5756462812423706,,6242
,,35,,1779707238.1242797,330.0,66.780511,1.5846104621887207,,6242
,,36,,1779707239.2335072,340.0,67.8895533,1.5393691062927246,,6242
,,37,,1779707240.353521,350.0,69.0098404,1.5277341604232788,,6242
