train/loss,_step,val/loss,_timestamp,train/step_loss,lr,Sample Generation,iter,_runtime,seed
5.573824405670166,0,5.560178279876709,1779696585.064155,,9.900990099009901e-06,,0.0,14.2765302,2026
,1,,1779696585.181186,5.183294296264648,,,0.0,14.3933415,2026
,2,,1779696586.2296367,4.2665276527404785,,,10.0,15.4419301,2026
,3,,1779696587.2668319,3.3400869369506836,,,20.0,16.4789857,2026
,4,,1779696588.2892656,3.3335022926330566,,,30.0,17.5014273,2026
,5,,1779696589.3072767,3.321748733520508,,,40.0,18.5194882,2026
,6,,1779696590.3318577,3.2985286712646484,,,50.0,19.5440114,2026
,7,,1779696591.3559864,2.832392930984497,,,60.0,20.568139,2026
,8,,1779696592.3767831,2.639092206954956,,,70.0,21.5891701,2026
,9,,1779696593.4008057,2.5730886459350586,,,80.0,22.6129561,2026
,10,,1779696594.4218228,2.5488131046295166,,,90.0,23.6339768,2026
,11,,1779696595.4434867,2.5118777751922607,,,100.0,24.6557332,2026
,12,,1779696596.4670556,2.49617862701416,,,110.0,25.6792082,2026
,13,,1779696597.4865973,2.456347942352295,,,120.0,26.6996221,2026
,14,,1779696598.5080879,2.4755687713623047,,,130.0,27.720935,2026
,15,,1779696599.5341651,2.4590818881988525,,,140.0,28.7464644,2026
,16,,1779696600.5562985,2.4224610328674316,,,150.0,29.768521,2026
,17,,1779696601.5797832,2.4315309524536133,,,160.0,30.7919785,2026
,18,,1779696602.6576242,2.3699371814727783,,,170.0,31.8698298,2026
,19,,1779696603.7519772,2.365022659301758,,,180.0,32.9651965,2026
,20,,1779696604.832005,2.326615810394287,,,190.0,34.0445047,2026
,21,,1779696605.873947,2.3006680011749268,,,200.0,35.0861004,2026
,22,,1779696606.901957,2.260927438735962,,,210.0,36.1144788,2026
,23,,1779696607.925861,2.2406022548675537,,,220.0,37.1382705,2026
,24,,1779696608.9519873,2.2009804248809814,,,230.0,38.1641414,2026
,25,,1779696609.9760685,2.174691915512085,,,240.0,39.1885901,2026
2.0992064476013184,26,2.1625633239746094,1779696624.3452427,,0.0009979206008271391,,250.0,53.5573501,2026
,27,,1779696624.4544203,2.1498348712921143,,,250.0,53.6665717,2026
,28,,1779696625.5867069,2.1068813800811768,,,260.0,54.7988601,2026
,29,,1779696626.7054687,2.0849459171295166,,,270.0,55.9178178,2026
,30,,1779696627.7907379,2.1190195083618164,,,280.0,57.0034811,2026
,31,,1779696628.8331506,2.0780107975006104,,,290.0,58.0453036,2026
,32,,1779696629.8626509,2.031724691390991,,,300.0,59.0748083,2026
,33,,1779696630.8901794,2.006580352783203,,,310.0,60.1023324,2026
,34,,1779696631.9166481,1.9917241334915161,,,320.0,61.1292201,2026
,35,,1779696632.9463644,1.948553204536438,,,330.0,62.1587243,2026
,36,,1779696633.9754124,1.9054207801818848,,,340.0,63.1875675,2026
,37,,1779696634.9978852,1.898136854171753,,,350.0,64.2110676,2026
,38,,1779696636.0257998,1.8951847553253174,,,360.0,65.2382075,2026
,39,,1779696637.058045,1.8916155099868774,,,370.0,66.2702026,2026
,40,,1779696638.0857418,1.8695998191833496,,,380.0,67.2978965,2026
,41,,1779696639.1429458,1.8854472637176514,,,390.0,68.3550981,2026
,42,,1779696640.2757213,1.8454153537750244,,,400.0,69.4884828,2026
,43,,1779696641.4057524,1.8005590438842773,,,410.0,70.617907,2026
,44,,1779696642.497974,1.7917581796646118,,,420.0,71.71050579999999,2026
,45,,1779696643.5663345,1.8096507787704468,,,430.0,72.7784864,2026
,46,,1779696644.5925415,1.769575595855713,,,440.0,73.8047402,2026
,47,,1779696645.6188262,1.7548197507858276,,,450.0,74.8309787,2026
,48,,1779696646.6449978,1.7603970766067505,,,460.0,75.8571554,2026
,49,,1779696647.6744409,1.7242982387542725,,,470.0,76.8865923,2026
,50,,1779696648.7787426,1.7497429847717285,,,480.0,77.9909021,2026
,51,,1779696649.873572,1.6758038997650146,,,490.0,79.0857297,2026
1.6066296100616455,52,1.7834863662719727,1779696664.3562503,,0.0009852826883675631,,500.0,93.5682667,2026
,53,,1779696664.4699779,1.6987837553024292,,,500.0,93.6821317,2026
,54,,1779696665.5360777,1.7091361284255981,,,510.0,94.7482298,2026
,55,,1779696666.5774071,1.6564478874206543,,,520.0,95.7898554,2026
,56,,1779696667.6149268,1.6442090272903442,,,530.0,96.8273022,2026
,57,,1779696668.6537316,1.6373279094696045,,,540.0,97.8658828,2026
,58,,1779696669.6866689,1.6579194068908691,,,550.0,98.8988232,2026
,59,,1779696670.7134078,1.6185308694839478,,,560.0,99.9264572,2026
,60,,1779696671.8238795,1.6047784090042114,,,570.0,101.0365283,2026
,61,,1779696672.9698005,1.6274977922439575,,,580.0,102.1819542,2026
