_runtime,Sample Generation,_timestamp,train/step_loss,_step,val/loss,lr,iter,train/loss,seed
13.2250213,,1779640032.9040082,,0,4.261262893676758,9.900990099009901e-06,0.0,4.2565717697143555,3740
13.333003099999999,,1779640033.0116887,4.258490562438965,1,,,0.0,,3740
14.336001,,1779640034.0150144,3.273894786834717,2,,,10.0,,3740
15.369318,,1779640035.0483356,2.9219751358032227,3,,,20.0,,3740
16.3619573,,1779640036.0402846,2.6912715435028076,4,,,30.0,,3740
17.3566196,,1779640037.0349367,2.5837128162384033,5,,,40.0,,3740
18.3561782,,1779640038.0349371,2.528205156326294,6,,,50.0,,3740
19.3537365,,1779640039.0327487,2.5157458782196045,7,,,60.0,,3740
20.3510118,,1779640040.0300295,2.487262487411499,8,,,70.0,,3740
21.3431695,,1779640041.022186,2.498081684112549,9,,,80.0,,3740
22.3323455,,1779640042.0103543,2.466278314590454,10,,,90.0,,3740
23.3140908,,1779640042.9922414,2.4600589275360107,11,,,100.0,,3740
24.3087141,,1779640043.9882352,2.4360547065734863,12,,,110.0,,3740
25.3010343,,1779640044.9795067,2.4304330348968506,13,,,120.0,,3740
26.3187639,,1779640045.997779,2.4276936054229736,14,,,130.0,,3740
27.3709158,,1779640047.049932,2.398853302001953,15,,,140.0,,3740
28.428506,,1779640048.107026,2.375256299972534,16,,,150.0,,3740
29.4346251,,1779640049.113145,2.3798375129699707,17,,,160.0,,3740
30.4247297,,1779640050.1037078,2.3321642875671387,18,,,170.0,,3740
31.40241,,1779640051.081177,2.3052945137023926,19,,,180.0,,3740
32.4019649,,1779640052.0806992,2.28074049949646,20,,,190.0,,3740
33.4009863,,1779640053.0791802,2.217467784881592,21,,,200.0,,3740
34.3805195,,1779640054.0594542,2.1946158409118652,22,,,210.0,,3740
35.3705503,,1779640055.049568,2.1582863330841064,23,,,220.0,,3740
36.3522519,,1779640056.0307589,2.102320671081543,24,,,230.0,,3740
37.3555948,,1779640057.0342376,2.0699095726013184,25,,,240.0,,3740
51.041164,,1779640070.7196858,,26,2.082901954650879,0.0009979206008271391,250.0,1.9732061624526978,3740
51.145206,,1779640070.8240502,2.0317294597625732,27,,,250.0,,3740
52.1174691,,1779640071.796259,1.9908567667007446,28,,,260.0,,3740
53.0983339,,1779640072.7771223,1.9624278545379639,29,,,270.0,,3740
54.083984,,1779640073.7630002,1.9439241886138916,30,,,280.0,,3740
55.0560536,,1779640074.7350774,1.883166790008545,31,,,290.0,,3740
56.0402935,,1779640075.7193077,1.8822726011276245,32,,,300.0,,3740
57.0218874,,1779640076.7009046,1.823445200920105,33,,,310.0,,3740
58.0055891,,1779640077.6842997,1.8676660060882568,34,,,320.0,,3740
58.9863794,,1779640078.6653948,1.8014578819274902,35,,,330.0,,3740
59.9837261,,1779640079.6618683,1.7995113134384155,36,,,340.0,,3740
61.0242615,,1779640080.7031603,1.7675036191940308,37,,,350.0,,3740
62.0719914,,1779640081.7510016,1.7599178552627563,38,,,360.0,,3740
63.0971785,,1779640082.7761953,1.7528622150421143,39,,,370.0,,3740
64.0862601,,1779640083.7649198,1.6628004312515259,40,,,380.0,,3740
65.0744709,,1779640084.752427,1.7004114389419556,41,,,390.0,,3740
