_step,val/loss,_timestamp,train/step_loss,iter,Sample Generation,_runtime,train/loss,lr,seed
0,4.250667572021484,1779703035.2512674,,0.0,,24.0641651,4.256704330444336,9.900990099009901e-06,2026
1,,1779703035.4687989,4.253567218780518,0.0,,24.2812034,,,2026
2,,1779703037.4416409,3.1026086807250977,10.0,,26.2540798,,,2026
3,,1779703039.4201276,2.755645513534546,20.0,,28.2325321,,,2026
4,,1779703041.393304,2.591668128967285,30.0,,30.2067087,,,2026
5,,1779703043.3667338,2.55558180809021,40.0,,32.1791574,,,2026
6,,1779703045.3392732,2.5188770294189453,50.0,,34.1518715,,,2026
7,,1779703047.3153048,2.504774808883667,60.0,,36.1277428,,,2026
8,,1779703049.290947,2.499258041381836,70.0,,38.1032018,,,2026
9,,1779703051.263388,2.4845778942108154,80.0,,40.0757929,,,2026
10,,1779703053.2390172,2.481536865234375,90.0,,42.0524273,,,2026
11,,1779703055.211993,2.469137668609619,100.0,,44.0248907,,,2026
12,,1779703057.188062,2.465871810913086,110.0,,46.0004673,,,2026
13,,1779703059.1602526,2.470669984817505,120.0,,47.9726566,,,2026
14,,1779703061.1332536,2.4537646770477295,130.0,,49.9458227,,,2026
15,,1779703063.1076531,2.4531033039093018,140.0,,51.9201389,,,2026
16,,1779703065.078755,2.4453125,150.0,,53.8913978,,,2026
17,,1779703067.054801,2.418335199356079,160.0,,55.8674793,,,2026
18,,1779703069.0307221,2.4079782962799072,170.0,,57.8435197,,,2026
19,,1779703071.0052228,2.4016196727752686,180.0,,59.8180265,,,2026
20,,1779703072.9792197,2.4242382049560547,190.0,,61.7916245,,,2026
21,,1779703074.9566913,2.3766767978668213,200.0,,63.7690947,,,2026
22,,1779703076.9304461,2.3425991535186768,210.0,,65.7428518,,,2026
23,,1779703078.9038367,2.330429792404175,220.0,,67.7162409,,,2026
24,,1779703080.8759599,2.3287603855133057,230.0,,69.6885832,,,2026
25,,1779703082.8494527,2.2696805000305176,240.0,,71.6618556,,,2026
26,2.2845380306243896,1779703108.1056645,,250.0,,96.9181434,2.20607852935791,0.0009979206008271391,2026
27,,1779703108.3072026,2.256744146347046,250.0,,97.1205652,,,2026
28,,1779703110.2801535,2.213594436645508,260.0,,99.0927563,,,2026
29,,1779703112.255387,2.1923346519470215,270.0,,101.0685249,,,2026
30,,1779703114.231062,2.1837942600250244,280.0,,103.0434662,,,2026
31,,1779703116.2047951,2.1344945430755615,290.0,,105.0172439,,,2026
32,,1779703118.1798127,2.113834857940674,300.0,,106.9922145,,,2026
33,,1779703120.1529107,2.071829080581665,310.0,,108.9653132,,,2026
34,,1779703122.1275492,2.041802406311035,320.0,,110.9402055,,,2026
