lr,_step,_timestamp,train/loss,_runtime,train/step_loss,val/loss,iter,Sample Generation,seed
9.900990099009901e-06,0,1779644991.5217113,4.349319934844971,13.9287249,,4.3466691970825195,0.0,,3740
,1,1779644991.6387494,,14.0452436,4.312273025512695,,0.0,,3740
,2,1779644992.6103745,,15.0159856,3.194967746734619,,10.0,,3740
,3,1779644993.5683322,,15.974451,2.7911338806152344,,20.0,,3740
,4,1779644994.5396335,,16.9458236,2.6357975006103516,,30.0,,3740
,5,1779644995.5027437,,17.9088599,2.557220458984375,,40.0,,3740
,6,1779644996.4705925,,18.8767077,2.518463611602783,,50.0,,3740
,7,1779644997.4432325,,19.8488438,2.528559923171997,,60.0,,3740
,8,1779644998.4089777,,20.8157343,2.4993584156036377,,70.0,,3740
,9,1779644999.4218507,,21.8279669,2.5220015048980713,,80.0,,3740
,10,1779645000.4312203,,22.8371761,2.4912033081054688,,90.0,,3740
,11,1779645001.4236627,,23.8298813,2.4615659713745117,,100.0,,3740
,12,1779645002.4114463,,24.8175626,2.45794415473938,,110.0,,3740
,13,1779645003.4238954,,25.8304032,2.459049940109253,,120.0,,3740
,14,1779645004.4326105,,26.8388238,2.4570186138153076,,130.0,,3740
,15,1779645005.4236631,,27.8299719,2.429210901260376,,140.0,,3740
,16,1779645006.4140215,,28.820142099999998,2.41817045211792,,150.0,,3740
,17,1779645007.4108236,,29.8171527,2.432878255844116,,160.0,,3740
,18,1779645008.4007423,,30.8072823,2.3977084159851074,,170.0,,3740
,19,1779645009.3898494,,31.7960944,2.406195640563965,,180.0,,3740
,20,1779645010.3753407,,32.7815036,2.385843276977539,,190.0,,3740
,21,1779645011.3697317,,33.775847,2.3744583129882812,,200.0,,3740
,22,1779645012.3518596,,34.7587862,2.350977897644043,,210.0,,3740
,23,1779645013.3421192,,35.7488019,2.334717273712158,,220.0,,3740
,24,1779645014.3328052,,36.7389369,2.3137669563293457,,230.0,,3740
,25,1779645015.3403828,,37.746501,2.320139169692993,,240.0,,3740
0.0009979206008271391,26,1779645029.9467509,2.2312264442443848,52.3532942,,2.2692108154296875,250.0,,3740
,27,1779645030.0475082,,52.4537923,2.287236213684082,,250.0,,3740
,28,1779645031.0459838,,53.4521159,2.269559621810913,,260.0,,3740
,29,1779645032.057972,,54.4640891,2.2606120109558105,,270.0,,3740
,30,1779645033.0710132,,55.4771298,2.248241424560547,,280.0,,3740
,31,1779645034.0956075,,56.5017254,2.2111101150512695,,290.0,,3740
,32,1779645035.1290085,,57.5351282,2.202073097229004,,300.0,,3740
,33,1779645036.1647015,,58.570818,2.1732869148254395,,310.0,,3740
,34,1779645037.1693203,,59.5754367,2.2169408798217773,,320.0,,3740
,35,1779645038.1716835,,60.5779307,2.149402379989624,,330.0,,3740
,36,1779645039.153485,,61.5597568,2.1500582695007324,,340.0,,3740
,37,1779645040.1387968,,62.5449151,2.1175806522369385,,350.0,,3740
,38,1779645041.1220403,,63.5281586,2.111253023147583,,360.0,,3740
,39,1779645042.1079082,,64.5140233,2.1068239212036133,,370.0,,3740
,40,1779645043.0855405,,65.4916921,2.0471692085266113,,380.0,,3740
,41,1779645044.0636907,,66.4699258,2.0586273670196533,,390.0,,3740
,42,1779645045.241761,,67.6478768,2.0738704204559326,,400.0,,3740
,43,1779645046.369055,,68.7751704,2.03993558883667,,410.0,,3740
,44,1779645047.603913,,70.0100302,2.026306390762329,,420.0,,3740
,45,1779645048.7948654,,71.2011525,1.9752507209777832,,430.0,,3740
,46,1779645049.938265,,72.3443808,1.9904102087020874,,440.0,,3740
,47,1779645051.0448582,,73.4512116,1.9676796197891235,,450.0,,3740
,48,1779645052.1642768,,74.5703948,1.9625132083892822,,460.0,,3740
,49,1779645053.292611,,75.69873,1.968368411064148,,470.0,,3740
,50,1779645054.4490566,,76.8551724,1.9503381252288818,,480.0,,3740
