MPID;WikiDataLink;WikipediaLink;Name;LastName;Born;SexOrGender;Occupation;Religion;AbgeordnetenwatchID
1;http://www.wikidata.org/entity/Q2571812;https://de.wikipedia.org/wiki/Wilhelm_Baessler;Wilhelm Baessler;Baessler;1878-01-31 00:00:00;männlich;['hotel owner', 'Politiker'];;
2;http://www.wikidata.org/entity/Q1631874;https://de.wikipedia.org/wiki/Albert_Pfl%C3%BCger;Albert Pflüger;Pflüger;1879-11-07 00:00:00;männlich;['Politiker'];;
3;http://www.wikidata.org/entity/Q1336565;https://de.wikipedia.org/wiki/Emil_M%C3%B6hrlin;Emil Möhrlin;;1883-02-01 00:00:00;männlich;['Politiker', 'Ingenieur'];;
4;http://www.wikidata.org/entity/Q1040293;https://de.wikipedia.org/wiki/Carl_Roth_(Politiker);Carl Roth;Roth;1884-01-25 00:00:00;männlich;['Politiker'];;
5;http://www.wikidata.org/entity/Q1704744;https://de.wikipedia.org/wiki/Josef_Harbrecht;Josef Harbrecht;Harbrecht;1884-12-22 00:00:00;männlich;['Pädagoge', 'Politiker'];;
6;http://www.wikidata.org/entity/Q1896242;https://de.wikipedia.org/wiki/Maria_Raiser;Maria Raiser;Raiser;1885-11-10 00:00:00;weiblich;['Politiker'];;
7;http://www.wikidata.org/entity/Q762529;https://de.wikipedia.org/wiki/August_Kuhn;August Kuhn;Kuhn;1886-01-11 00:00:00;männlich;['Politiker'];;
8;http://www.wikidata.org/entity/Q363080;https://de.wikipedia.org/wiki/Adolf_K%C3%BChn;Adolf Kühn;Kühn;1886-05-31 00:00:00;männlich;['Politiker'];;
9;http://www.wikidata.org/entity/Q1407374;https://de.wikipedia.org/wiki/Max_J%C3%A4ger_(Politiker,_1886);Max Jäger;Jäger;1886-10-02 00:00:00;männlich;['Politiker'];;
11;http://www.wikidata.org/entity/Q2665843;https://de.wikipedia.org/wiki/Carl_Schaefer_(Politiker);Carl Schaefer;Schaefer;1887-09-27 00:00:00;männlich;['Politiker'];;
12;http://www.wikidata.org/entity/Q1505385;https://de.wikipedia.org/wiki/Georg_Menges_(Politiker);Georg Menges;Menges;1888-02-05 00:00:00;männlich;['Politiker'];;
13;http://www.wikidata.org/entity/Q1467275;https://de.wikipedia.org/wiki/Fritz_Ulrich_(Politiker);Fritz Ulrich;Ulrich;1888-02-12 00:00:00;männlich;['Politiker'];;
14;http://www.wikidata.org/entity/Q1039888;https://de.wikipedia.org/wiki/Carl_Neinhaus;Carl Neinhaus;;1888-03-20 00:00:00;männlich;['Politiker'];;
15;http://www.wikidata.org/entity/Q1706135;https://de.wikipedia.org/wiki/Wilhelm_Simpfend%C3%B6rfer;Wilhelm Simpfendörfer;Simpfendörfer;1888-05-25 00:00:00;männlich;['Politiker'];;
16;http://www.wikidata.org/entity/Q2062968;https://de.wikipedia.org/wiki/Paul_Waeldin;Paul Waeldin;;1888-06-12 00:00:00;männlich;['Politiker'];;
17;http://www.wikidata.org/entity/Q2172710;https://de.wikipedia.org/wiki/Rudolf_Gehring_(Politiker,_1888);Rudolf Gehring;;1888-08-30 00:00:00;männlich;['Politiker'];;
18;http://www.wikidata.org/entity/Q1539687;https://de.wikipedia.org/wiki/Gotthilf_Bayh;Gotthilf Bayh;;1888-11-09 00:00:00;männlich;['Politiker'];;
19;http://www.wikidata.org/entity/Q1539702;https://de.wikipedia.org/wiki/Gotthilf_Schenkel;Gotthilf Schenkel;;1889-07-19 00:00:00;männlich;['Hochschullehrer', 'Theologe', 'Politiker'];evangelische Kirche;
21;http://www.wikidata.org/entity/Q1287305;https://de.wikipedia.org/wiki/Walter_Nischwitz;Walter Nischwitz;Nischwitz;1889-10-19 00:00:00;männlich;['Politiker'];;
22;http://www.wikidata.org/entity/Q1449453;https://de.wikipedia.org/wiki/Franz_Wiedemeier;Franz Wiedemeier;Wiedemeier;1890-05-01 00:00:00;männlich;['Politiker'];;
23;http://www.wikidata.org/entity/Q2575309;https://de.wikipedia.org/wiki/Wilhelm_Stump;Wilhelm Stump;Stump;1890-08-14 00:00:00;männlich;['Politiker'];;
25;http://www.wikidata.org/entity/Q641728;https://de.wikipedia.org/wiki/Arend_Braye;Arend Braye;;1890-11-03 00:00:00;männlich;['Politiker'];;
26;http://www.wikidata.org/entity/Q1903931;https://de.wikipedia.org/wiki/Martin_Haag_(Politiker,_1891);Martin Haag;Haag;1891-04-30 00:00:00;männlich;['Politiker'];;
27;http://www.wikidata.org/entity/Q1311272;https://de.wikipedia.org/wiki/Eugen_Wirsching;Eugen Wirsching;Wirsching;1891-11-29 00:00:00;männlich;['Politiker'];;
28;http://www.wikidata.org/entity/Q1610921;https://de.wikipedia.org/wiki/Hermann_Dold_(Politiker);Hermann Dold;Dold;1892-02-22 00:00:00;männlich;['Politiker'];;
29;http://www.wikidata.org/entity/Q1539838;https://de.wikipedia.org/wiki/Gottlieb_Reinbold;Gottlieb Reinbold;Reinbold;1892-11-19 00:00:00;männlich;['Politiker'];;
30;http://www.wikidata.org/entity/Q1657472;https://de.wikipedia.org/wiki/Ignaz_Kuhngamberger;Ignaz Kuhngamberger;;1892-12-06 00:00:00;männlich;['Landwirt', 'Politiker'];;
31;http://www.wikidata.org/entity/Q1459677;https://de.wikipedia.org/wiki/Friedrich_Herrmann_(Politiker);Friedrich Herrmann;Herrmann;1892-12-25 00:00:00;männlich;['Politiker'];;
32;http://www.wikidata.org/entity/Q1286512;https://de.wikipedia.org/wiki/Edmund_Kaufmann;Edmund Kaufmann;Kaufmann;1893-02-13 00:00:00;männlich;['Jurist', 'Politiker'];;
33;http://www.wikidata.org/entity/Q1446317;https://de.wikipedia.org/wiki/Franz_Bl%C3%A4si;Franz Bläsi;Bläsi;1893-03-28 00:00:00;männlich;['Politiker'];;
34;http://www.wikidata.org/entity/Q1289120;https://de.wikipedia.org/wiki/Eduard_Lais;Eduard Lais;Lais;1893-05-29 00:00:00;männlich;['Politiker'];;
35;http://www.wikidata.org/entity/Q1362905;https://de.wikipedia.org/wiki/Erwin_Eckert;Erwin Eckert;Eckert;1893-06-16 00:00:00;männlich;['Politiker'];;
36;http://www.wikidata.org/entity/Q2645713;https://de.wikipedia.org/wiki/Alfred_Rauch_(Politiker);Alfred Rauch;Rauch;1893-07-08 00:00:00;männlich;['Politiker'];;
37;http://www.wikidata.org/entity/Q973299;https://de.wikipedia.org/wiki/Gottlieb_Leeger;Gottlieb Leeger;Leeger;1893-10-17 00:00:00;männlich;['Politiker'];;
38;http://www.wikidata.org/entity/Q1580798;https://de.wikipedia.org/wiki/Hans_Kohler_(Politiker,_1893);Hans Kohler;Kohler;1893-11-21 00:00:00;männlich;['Politiker'];;
39;http://www.wikidata.org/entity/Q1336213;https://de.wikipedia.org/wiki/Emil_Henk;Emil Henk;Henk;1893-12-17 00:00:00;männlich;['Politiker'];;
40;http://www.wikidata.org/entity/Q2157549;https://de.wikipedia.org/wiki/Robert_Herzog_(Politiker);Robert Herzog;Duke;1894-04-11 00:00:00;männlich;['Politiker', 'Richter'];;
41;http://www.wikidata.org/entity/Q2696860;https://de.wikipedia.org/wiki/Friedrich_Rupps;Friedrich Rupps;;1894-06-16 00:00:00;männlich;['Politiker'];;
42;http://www.wikidata.org/entity/Q2060565;https://de.wikipedia.org/wiki/Paul_Keller_(Politiker);Paul Keller;Keller;1895-01-05 00:00:00;männlich;['Politiker'];;
43;http://www.wikidata.org/entity/Q1556483;https://de.wikipedia.org/wiki/Ludwig_Bohrmann;Ludwig Bohrmann;Bohrmann;1895-02-09 00:00:00;männlich;['Politiker'];;
45;http://www.wikidata.org/entity/Q13424235;https://de.wikipedia.org/wiki/Oscar_Hagen_(Politiker);Oscar Hagen;Hagen;1895-04-04 00:00:00;männlich;['Politiker'];;
48;http://www.wikidata.org/entity/Q1505941;https://de.wikipedia.org/wiki/Georg_Schulz_(Politiker);Georg Schulz;Schulz;1896-04-30 00:00:00;männlich;['Maler', 'Politiker'];;
49;http://www.wikidata.org/entity/Q1600661;https://de.wikipedia.org/wiki/Otto_G%C3%B6nnenwein;Otto Gönnenwein;Gönnenwein;1896-05-16 00:00:00;männlich;['Hochschullehrer', 'Jurist', 'Politiker'];;
50;http://www.wikidata.org/entity/Q1679319;https://de.wikipedia.org/wiki/Jakob_Ruppert;Jakob Ruppert;Ruppert;1896-05-21 00:00:00;männlich;['Politiker'];;
51;http://www.wikidata.org/entity/Q1505953;https://de.wikipedia.org/wiki/Georg_Schuster_(Politiker,_1896);Georg Schuster;Schuster;1896-07-01 00:00:00;männlich;['Politiker'];;
52;http://www.wikidata.org/entity/Q55566939;https://de.wikipedia.org/wiki/Alfred_Herbig;Alfred Herbig;;1896-11-04 00:00:00;männlich;['Politiker'];;
53;http://www.wikidata.org/entity/Q86095453;https://de.wikipedia.org/wiki/Robert_Ganter;Robert Ganter;;1896-11-08 00:00:00;männlich;['Schulrat', 'Politiker'];;
54;http://www.wikidata.org/entity/Q1612646;https://de.wikipedia.org/wiki/Hermann_Schneider_(Politiker,_1896);Hermann Schneider;Schneider;1896-12-07 00:00:00;männlich;['Politiker'];;
58;http://www.wikidata.org/entity/Q1730552;https://de.wikipedia.org/wiki/Karl_Braun_(Politiker,_1897);Karl Braun;Braun;1897-07-29 00:00:00;männlich;['Politiker'];;
59;http://www.wikidata.org/entity/Q25685197;https://de.wikipedia.org/wiki/Emil_M%C3%BCller_(Politiker,_1897);Emil Müller;Müller;1897-07-31 00:00:00;männlich;['Politiker'];;
