step,layer_name,layer_type,shape,max_rank,threshold_rank_tau_0.01,entropy_rank_tau_0.01,stable_rank_tau_0.01,threshold_rank_tau_0.05,entropy_rank_tau_0.05,stable_rank_tau_0.05,threshold_rank_tau_0.1,entropy_rank_tau_0.1,stable_rank_tau_0.1,threshold_rank_tau_0.2,entropy_rank_tau_0.2,stable_rank_tau_0.2,threshold_rank_tau_0.5,entropy_rank_tau_0.5,stable_rank_tau_0.5
0,transformer.wte.weight,unknown,(50304x384),384,100,2.22,1.15,10,2.22,1.15,3,2.22,1.15,2,2.22,1.15,1,2.22,1.15
0,transformer.wpe.weight,unknown,(256x384),256,100,4.51,1.35,32,4.51,1.35,3,4.51,1.35,2,4.51,1.35,1,4.51,1.35
0,transformer.h.0.attn.c_attn.weight,attention,(1152x384),384,63,1.89,1.13,8,1.89,1.13,3,1.89,1.13,2,1.89,1.13,1,1.89,1.13
0,transformer.h.0.attn.c_proj.weight,attention_proj,(384x384),384,59,1.94,1.15,9,1.94,1.15,3,1.94,1.15,2,1.94,1.15,1,1.94,1.15
0,transformer.h.0.mlp.c_fc.weight,mlp,(1536x384),384,100,9.17,1.81,58,9.17,1.81,12,9.17,1.81,5,9.17,1.81,1,9.17,1.81
0,transformer.h.0.mlp.c_proj.weight,mlp,(384x1536),384,100,2.48,1.18,10,2.48,1.18,4,2.48,1.18,2,2.48,1.18,1,2.48,1.18
0,transformer.h.1.attn.c_attn.weight,attention,(1152x384),384,31,1.26,1.04,2,1.26,1.04,2,1.26,1.04,1,1.26,1.04,1,1.26,1.04
0,transformer.h.1.attn.c_proj.weight,attention_proj,(384x384),384,32,1.26,1.04,2,1.26,1.04,2,1.26,1.04,1,1.26,1.04,1,1.26,1.04
0,transformer.h.1.mlp.c_fc.weight,mlp,(1536x384),384,100,3.12,1.24,15,3.12,1.24,5,3.12,1.24,2,3.12,1.24,1,3.12,1.24
0,transformer.h.1.mlp.c_proj.weight,mlp,(384x1536),384,100,2.00,1.12,7,2.00,1.12,3,2.00,1.12,1,2.00,1.12,1,2.00,1.12
0,transformer.h.2.attn.c_attn.weight,attention,(1152x384),384,27,1.18,1.02,2,1.18,1.02,2,1.18,1.02,1,1.18,1.02,1,1.18,1.02
0,transformer.h.2.attn.c_proj.weight,attention_proj,(384x384),384,28,1.18,1.02,2,1.18,1.02,2,1.18,1.02,1,1.18,1.02,1,1.18,1.02
0,transformer.h.2.mlp.c_fc.weight,mlp,(1536x384),384,100,2.66,1.19,12,2.66,1.19,4,2.66,1.19,2,2.66,1.19,1,2.66,1.19
0,transformer.h.2.mlp.c_proj.weight,mlp,(384x1536),384,100,1.89,1.11,7,1.89,1.11,2,1.89,1.11,1,1.89,1.11,1,1.89,1.11
0,transformer.h.3.attn.c_attn.weight,attention,(1152x384),384,23,1.13,1.02,2,1.13,1.02,1,1.13,1.02,1,1.13,1.02,1,1.13,1.02
0,transformer.h.3.attn.c_proj.weight,attention_proj,(384x384),384,24,1.12,1.01,2,1.12,1.01,1,1.12,1.01,1,1.12,1.01,1,1.12,1.01
0,transformer.h.3.mlp.c_fc.weight,mlp,(1536x384),384,100,2.17,1.13,9,2.17,1.13,2,2.17,1.13,1,2.17,1.13,1,2.17,1.13
0,transformer.h.3.mlp.c_proj.weight,mlp,(384x1536),384,100,1.76,1.09,5,1.76,1.09,2,1.76,1.09,1,1.76,1.09,1,1.76,1.09
0,transformer.h.4.attn.c_attn.weight,attention,(1152x384),384,23,1.10,1.01,2,1.10,1.01,1,1.10,1.01,1,1.10,1.01,1,1.10,1.01
0,transformer.h.4.attn.c_proj.weight,attention_proj,(384x384),384,24,1.11,1.01,2,1.11,1.01,1,1.11,1.01,1,1.11,1.01,1,1.11,1.01
0,transformer.h.4.mlp.c_fc.weight,mlp,(1536x384),384,100,2.01,1.12,7,2.01,1.12,2,2.01,1.12,1,2.01,1.12,1,2.01,1.12
0,transformer.h.4.mlp.c_proj.weight,mlp,(384x1536),384,100,1.70,1.08,5,1.70,1.08,2,1.70,1.08,1,1.70,1.08,1,1.70,1.08
0,transformer.h.5.attn.c_attn.weight,attention,(1152x384),384,23,1.08,1.01,1,1.08,1.01,1,1.08,1.01,1,1.08,1.01,1,1.08,1.01
0,transformer.h.5.attn.c_proj.weight,attention_proj,(384x384),384,19,1.07,1.01,1,1.07,1.01,1,1.07,1.01,1,1.07,1.01,1,1.07,1.01
0,transformer.h.5.mlp.c_fc.weight,mlp,(1536x384),384,100,1.84,1.10,6,1.84,1.10,2,1.84,1.10,1,1.84,1.10,1,1.84,1.10
0,transformer.h.5.mlp.c_proj.weight,mlp,(384x1536),384,96,1.59,1.07,4,1.59,1.07,2,1.59,1.07,1,1.59,1.07,1,1.59,1.07
25,transformer.wte.weight,unknown,(50304x384),384,25,2.14,1.30,4,2.14,1.30,3,2.14,1.30,3,2.14,1.30,1,2.14,1.30
25,transformer.wpe.weight,unknown,(256x384),256,93,3.11,1.37,16,3.11,1.37,4,3.11,1.37,2,3.11,1.37,1,3.11,1.37
25,transformer.h.0.attn.c_attn.weight,attention,(1152x384),384,57,3.63,1.69,13,3.63,1.69,7,3.63,1.69,3,3.63,1.69,2,3.63,1.69
25,transformer.h.0.attn.c_proj.weight,attention_proj,(384x384),384,22,2.35,1.52,6,2.35,1.52,4,2.35,1.52,3,2.35,1.52,2,2.35,1.52
25,transformer.h.0.mlp.c_fc.weight,mlp,(1536x384),384,22,2.50,1.39,7,2.50,1.39,4,2.50,1.39,3,2.50,1.39,2,2.50,1.39
25,transformer.h.0.mlp.c_proj.weight,mlp,(384x1536),384,10,1.37,1.07,4,1.37,1.07,3,1.37,1.07,1,1.37,1.07,1,1.37,1.07
