Overriding config with config/train_gpt2.py:
# config for training GPT-2 (124M) down to very nice loss of ~2.85 on 1 node of 8X A100 40GB
# launch as the following (e.g. in a screen session) and wait ~5 days:
# $ torchrun --standalone --nproc_per_node=8 train.py config/train_gpt2.py

wandb_log = True
wandb_project = 'owt'
wandb_run_name='gpt2-124M'

# these make the total batch size be ~0.5M
# 12 batch size * 1024 block size * 5 gradaccum * 8 GPUs = 491,520
batch_size = 12
block_size = 1024
gradient_accumulation_steps = 5 * 8

# this makes total number of tokens be 300B
max_iters = 6000
lr_decay_iters = 6000

# eval stuff
eval_interval = 1000
eval_iters = 200
log_interval = 10

# weight decay
weight_decay = 1e-1

[W Utils.hpp:135] Warning: Environment variable NCCL_ASYNC_ERROR_HANDLING is deprecated; use TORCH_NCCL_ASYNC_ERROR_HANDLING instead (function getCvarInt)
tokens per iteration will be: 491,520
Resuming training from out
number of parameters: 123.59M
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
[rank0]:[W Utils.hpp:108] Warning: Environment variable NCCL_ASYNC_ERROR_HANDLING is deprecated; use TORCH_NCCL_ASYNC_ERROR_HANDLING instead (function getCvarString)
wandb: Currently logged in as: newton-sander (seek-ae). Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.17.5
wandb: Run data is saved locally in /home/ubuntu/workspace/nanoGPT/wandb/run-20240801_150833-mvtm5kj1
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run gpt2-124M
wandb: ⭐️ View project at https://wandb.ai/seek-ae/owt
wandb: 🚀 View run at https://wandb.ai/seek-ae/owt/runs/mvtm5kj1
step 1000: train loss 4.5155, val loss 4.5217
saving checkpoint to out
iter 1000: loss 4.6041, time 78753.59ms, mfu -100.00%
iter 1010: loss 4.4022, time 9827.31ms, mfu 13.70%
iter 1020: loss 4.5424, time 9828.01ms, mfu 13.70%
iter 1030: loss 4.6406, time 9828.88ms, mfu 13.70%
iter 1040: loss 4.4813, time 9827.73ms, mfu 13.70%
iter 1050: loss 4.5442, time 9827.97ms, mfu 13.70%
iter 1060: loss 4.6142, time 9828.21ms, mfu 13.70%
iter 1070: loss 4.3167, time 9826.99ms, mfu 13.70%
iter 1080: loss 4.2994, time 9828.53ms, mfu 13.70%
iter 1090: loss 4.5139, time 9827.32ms, mfu 13.70%
iter 1100: loss 4.2091, time 9826.75ms, mfu 13.70%
iter 1110: loss 4.2176, time 9827.64ms, mfu 13.70%
iter 1120: loss 4.3277, time 9827.98ms, mfu 13.70%
iter 1130: loss 4.4780, time 9826.52ms, mfu 13.70%
iter 1140: loss 4.1933, time 9827.96ms, mfu 13.70%
iter 1150: loss 4.3826, time 9829.29ms, mfu 13.70%
iter 1160: loss 4.4159, time 9828.26ms, mfu 13.70%
iter 1170: loss 4.5264, time 9827.55ms, mfu 13.70%
iter 1180: loss 4.3908, time 9827.83ms, mfu 13.70%
iter 1190: loss 4.1693, time 9827.58ms, mfu 13.70%
iter 1200: loss 4.2555, time 9826.32ms, mfu 13.70%
iter 1210: loss 4.1892, time 9827.05ms, mfu 13.70%
iter 1220: loss 4.0085, time 9827.44ms, mfu 13.70%
iter 1230: loss 4.2129, time 9826.89ms, mfu 13.70%
iter 1240: loss 4.2366, time 9826.92ms, mfu 13.70%
iter 1250: loss 4.1985, time 9826.34ms, mfu 13.70%
iter 1260: loss 4.0991, time 9828.59ms, mfu 13.70%
